Data Table Column Name,Variable Name,Full statement or question used for extraction,Data type,Standardized categorical responses,Preferred units,Missing data code
cov_num,Covidence number,"This value was assigned by Covidence, the literature review software",Numeric,NA,NA,NA
name_yr,First author's last name and publishing year,"This value was assigned by Covidence, the literature review software",Text,NA,NA,NA
title,Article title,"This value was assigned by Covidence, the literature review software",Text,NA,NA,NA
reviewer,Reviewer,"This value was assigned by Covidence, the literature review software",Text,NA,NA,NA
email,Email?,Good candidate for emailing author,Categorical,Yes; No,NA,NA
notes,Notes,Notes,Text,NA,NA,NA
num_res,More than one reservoir?,This study has more than one reservoir,Categorical,Yes; No,NA,NA
num_water,Number of waterbodies,How many waterbodies are in this study?,Numeric,NA,NA,NA
aim,Study aim,What was the aim of this study?,Text,NA,NA,NA
country,Country,Country where reservoir is located  ,Text,NA,NA,NA
res_name,Reservoir Name,Reservoir Name,Text,NA,NA,NA
Latitude and Longitude (Decimal Degrees):,Latitude and Longitude (Decimal Degrees):,Section titled: Latitude and Longitude (Decimal Degrees),NA,NA,NA,NA
lat_dd,Latitude (DD),Latitude (DD),Numeric,NA,decimal degree,NA
long_dd,Longitude (DD),Longitude (DD),Numeric,NA,decimal degree,NA
Depth (m):,Depth (m):,Section titled: Depth (m),NA,NA,NA,NA
fullpond_maxdepth,Maximum depth at full pond,Maximum depth at full pond,Numeric,NA,meters,NA
obs_maxdepth,Maximum depth observed,Maximum depth observed,Numeric,NA,meters,NA
meandepth,Mean depth,Mean depth,Numeric,NA,meters,NA
mindepth,Minimum depth observed,Minimum depth observed,Numeric,NA,meters,NA
Volume (m^3):,Volume (m^3):,Section titled: Volume (m^3),NA,NA,NA,NA
fullpond_maxvol,Max volume at full pond (m3),Max volume at full pond (m3),Numeric,NA,cubic meters,NA
obs_maxvol,Max volume observed,Max volume observed,Numeric,NA,cubic meters,NA
minvol,Minimum volume observed,Minimum volume observed,Numeric,NA,cubic meters,NA
Surface area (km^2):,Surface area (km^2):,Section titled: Surface area (km^2),NA,NA,NA,NA
fullpond_sa,Surface area at full pool,Surface area at full pool,Numeric,NA,square kilometers,NA
obs_sa,Surface area observed,Surface area observed,Numeric,NA,square kilometers,NA
trophic,Trophic Status,Trophic Status,Text,hypereutrophic;eu-hypereutrophic;eutrophic;meso-eutrophic;mesotrophic;oligo-mesotrophic;oligotrophic;not reported;other,,NA
Trophic Status descriptors:,Trophic Status descriptors:,Section titled: Trophic Status descriptors,NA,NA,NA,NA
mean_tp,Mean total phosphorus,Mean total phosphorus,Numeric,NA,micrograms per liter,NA
